"t"	"T"
"s"	"°C"
490	57.6866799352723399
490.5	57.6495582552210708
491	57.6866799352723399
491.5	57.6495582552210708
492	57.6495582552210708
492.5	57.6866799352723399
493	57.6495582552210708
493.5	57.6866799352723399
494	57.6495582552210708
494.5	57.6866799352723399
495	57.6495582552210708
495.5	57.6866799352723399
496	57.6866799352723399
496.5	57.6495582552210708
497	57.6866799352723399
497.5	57.6495582552210708
498	57.6866799352723399
498.5	57.6495582552210708
499	57.6495582552210708
499.5	57.6866799352723399
500	57.6495582552210708
500.5	57.6495582552210708
501	57.6495582552210708
501.5	57.6495582552210708
502	57.6495582552210708
502.5	57.6495582552210708
503	57.6495582552210708
503.5	57.6495582552210708
504	57.6495582552210708
504.5	57.6495582552210708
505	57.6495582552210708
505.5	57.6495582552210708
506	57.6495582552210708
506.5	57.6495582552210708
507	57.6866799352723399
507.5	57.6495582552210708
508	57.6866799352723399
508.5	57.6495582552210708
509	57.6495582552210708
509.5	57.6495582552210708
510	57.6495582552210708
510.5	57.6495582552210708
511	57.6495582552210708
511.5	57.6495582552210708
512	57.6495582552210708
512.5	57.6495582552210708
513	57.6495582552210708
513.5	57.6495582552210708
514	57.6495582552210708
514.5	57.6495582552210708
515	57.6495582552210708
515.5	57.6495582552210708
516	57.6495582552210708
516.5	57.6495582552210708
517	57.6495582552210708
517.5	57.6495582552210708
518	57.6495582552210708
518.5	57.612464587968494
519	57.612464587968494
519.5	57.612464587968494
520	57.6495582552210708
520.5	57.6495582552210708
521	57.612464587968494
521.5	57.6495582552210708
522	57.612464587968494
522.5	57.612464587968494
523	57.612464587968494
523.5	57.612464587968494
524	57.612464587968494
524.5	57.612464587968494
525	57.612464587968494
525.5	57.612464587968494
526	57.612464587968494
526.5	57.612464587968494
527	57.612464587968494
527.5	57.6495582552210708
528	57.612464587968494
528.5	57.6495582552210708
529	57.612464587968494
529.5	57.612464587968494
530	57.612464587968494
530.5	57.612464587968494
531	57.6495582552210708
531.5	57.612464587968494
532	57.612464587968494
532.5	57.612464587968494
533	57.612464587968494
533.5	57.612464587968494
534	57.612464587968494
534.5	57.612464587968494
535	57.612464587968494
535.5	57.612464587968494
536	57.612464587968494
536.5	57.612464587968494
537	57.612464587968494
537.5	57.612464587968494
538	57.612464587968494
538.5	57.612464587968494
539	57.612464587968494
539.5	57.612464587968494
540	57.612464587968494
540.5	57.612464587968494
541	57.612464587968494
541.5	57.612464587968494
542	57.612464587968494
542.5	57.612464587968494
543	57.612464587968494
543.5	57.612464587968494
544	57.612464587968494
544.5	57.612464587968494
545	57.612464587968494
545.5	57.612464587968494
546	57.612464587968494
546.5	57.612464587968494
547	57.612464587968494
547.5	57.612464587968494
548	57.612464587968494
548.5	57.612464587968494
549	57.612464587968494
549.5	57.612464587968494
550	57.612464587968494
550.5	57.612464587968494
551	57.612464587968494
551.5	57.612464587968494
552	57.612464587968494
552.5	57.612464587968494
553	57.612464587968494
553.5	57.5753916663403474
554	57.612464587968494
554.5	57.612464587968494
555	57.612464587968494
555.5	57.612464587968494
556	57.612464587968494
556.5	57.612464587968494
557	57.612464587968494
557.5	57.612464587968494
558	57.612464587968494
558.5	57.612464587968494
559	57.612464587968494
559.5	57.5753916663403474
560	57.612464587968494
560.5	57.5753916663403474
561	57.612464587968494
561.5	57.5753916663403474
562	57.5753916663403474
562.5	57.612464587968494
563	57.5753916663403474
563.5	57.5753916663403474
564	57.612464587968494
564.5	57.5753916663403474
565	57.612464587968494
565.5	57.5753916663403474
566	57.5753916663403474
566.5	57.5753916663403474
567	57.612464587968494
567.5	57.5753916663403474
568	57.5753916663403474
